,,20200313,AFG
,,20200314,AFG
10,0,20200315,AFG
16,0,20200316,AFG
21,0,20200317,AFG
22,0,20200318,AFG
22,0,20200319,AFG
22,0,20200320,AFG
24,0,20200321,AFG
24,0,20200322,AFG
34,0,20200323,AFG
40,1,20200324,AFG
42,1,20200325,AFG
75,1,20200326,AFG
75,1,20200327,AFG
91,2,20200328,AFG
106,3,20200329,AFG
114,4,20200330,AFG
141,4,20200331,AFG
166,4,20200401,AFG
192,4,20200402,AFG
235,4,20200403,AFG
235,4,20200404,AFG
270,5,20200405,AFG
299,7,20200406,AFG
337,7,20200407,AFG
367,11,20200408,AFG
423,14,20200409,AFG
484,15,20200410,AFG
521,15,20200411,AFG
555,18,20200412,AFG
607,18,20200413,AFG
665,21,20200414,AFG
714,23,20200415,AFG
784,25,20200416,AFG
794,29,20200417,AFG
845,30,20200418,AFG
908,30,20200419,AFG
996,33,20200420,AFG
1031,35,20200421,AFG
1092,36,20200422,AFG
1176,40,20200423,AFG
1281,42,20200424,AFG
1351,43,20200425,AFG
1463,47,20200426,AFG
1531,57,20200427,AFG
1703,57,20200428,AFG
1827,60,20200429,AFG
1949,60,20200430,AFG
2171,64,20200501,AFG
2335,68,20200502,AFG
2469,72,20200503,AFG
2704,85,20200504,AFG
2894,90,20200505,AFG
3224,95,20200506,AFG
3392,104,20200507,AFG
3563,106,20200508,AFG
3778,109,20200509,AFG
4033,115,20200510,AFG
4402,120,20200511,AFG
4687,122,20200512,AFG
4967,127,20200513,AFG
5226,130,20200514,AFG
5339,136,20200515,AFG
6402,168,20200516,AFG
6402,168,20200517,AFG
6664,169,20200518,AFG
7072,173,20200519,AFG
7653,178,20200520,AFG
8145,187,20200521,AFG
8676,193,20200522,AFG
9216,205,20200523,AFG
9998,216,20200524,AFG
10582,218,20200525,AFG
11173,219,20200526,AFG
11831,220,20200527,AFG
12456,227,20200528,AFG
13036,235,20200529,AFG
13659,246,20200530,AFG
14525,249,20200531,AFG
15205,257,20200601,AFG
15750,265,20200602,AFG
16509,270,20200603,AFG
17267,294,20200604,AFG
18054,300,20200605,AFG
18969,309,20200606,AFG
19551,327,20200607,AFG
20342,357,20200608,AFG
20917,369,20200609,AFG
21459,384,20200610,AFG
22143,405,20200611,AFG
22890,426,20200612,AFG
23546,446,20200613,AFG
24102,451,20200614,AFG
24766,471,20200615,AFG
25527,478,20200616,AFG
26310,491,20200617,AFG
26874,504,20200618,AFG
27532,546,20200619,AFG
27878,548,20200620,AFG
28424,569,20200621,AFG
28833,581,20200622,AFG
29143,598,20200623,AFG
,,20200101,AGO
,,20200102,AGO
,,20200103,AGO
,,20200104,AGO
,,20200105,AGO
,,20200106,AGO
,,20200107,AGO
,,20200108,AGO
,,20200109,AGO
,,20200110,AGO
,,20200111,AGO
,,20200112,AGO
,,20200113,AGO
,,20200114,AGO
,,20200115,AGO
,,20200116,AGO
,,20200117,AGO
,,20200118,AGO
,,20200119,AGO
,,20200120,AGO
,,20200121,AGO
,,20200122,AGO
,,20200123,AGO
,,20200124,AGO
,,20200125,AGO
,,20200126,AGO
,,20200127,AGO
,,20200128,AGO
,,20200129,AGO
,,20200130,AGO
,,20200131,AGO
,,20200201,AGO
,,20200202,AGO
,,20200203,AGO
,,20200204,AGO
,,20200205,AGO
,,20200206,AGO
,,20200207,AGO
,,20200208,AGO
,,20200209,AGO
,,20200210,AGO
,,20200211,AGO
,,20200212,AGO
,,20200213,AGO
,,20200214,AGO
,,20200215,AGO
,,20200216,AGO
,,20200217,AGO
,,20200218,AGO
,,20200219,AGO
,,20200220,AGO
,,20200221,AGO
,,20200222,AGO
,,20200223,AGO
,,20200224,AGO
,,20200225,AGO
,,20200226,AGO
,,20200227,AGO
,,20200228,AGO
,,20200229,AGO
,,20200301,AGO
,,20200302,AGO
,,20200303,AGO
,,20200304,AGO
,,20200305,AGO
,,20200306,AGO
,,20200307,AGO
,,20200308,AGO
,,20200309,AGO
,,20200310,AGO
,,20200311,AGO
,,20200312,AGO
,,20200313,AGO
,,20200314,AGO
,,20200315,AGO
,,20200316,AGO
,,20200317,AGO
,,20200318,AGO
,,20200319,AGO
,,20200320,AGO
,,20200321,AGO
2,0,20200322,AGO
2,0,20200323,AGO
2,0,20200324,AGO
2,0,20200325,AGO
2,0,20200326,AGO
3,0,20200327,AGO
4,0,20200328,AGO
4,0,20200329,AGO
7,2,20200330,AGO
7,2,20200331,AGO
7,2,20200401,AGO
8,2,20200402,AGO
8,2,20200403,AGO
8,2,20200404,AGO
10,2,20200405,AGO
14,2,20200406,AGO
16,2,20200407,AGO
17,2,20200408,AGO
19,2,20200409,AGO
19,2,20200410,AGO
19,2,20200411,AGO
19,2,20200412,AGO
19,2,20200413,AGO
19,2,20200414,AGO
19,2,20200415,AGO
19,2,20200416,AGO
19,2,20200417,AGO
19,2,20200418,AGO
24,2,20200419,AGO
24,2,20200420,AGO
24,2,20200421,AGO
24,2,20200422,AGO
24,2,20200423,AGO
25,2,20200424,AGO
25,2,20200425,AGO
25,2,20200426,AGO
26,2,20200427,AGO
27,2,20200428,AGO
27,2,20200429,AGO
27,2,20200430,AGO
27,2,20200501,AGO
29,2,20200502,AGO
35,2,20200503,AGO
35,2,20200504,AGO
35,2,20200505,AGO
36,2,20200506,AGO
36,2,20200507,AGO
36,2,20200508,AGO
43,2,20200509,AGO
43,2,20200510,AGO
45,2,20200511,AGO
45,2,20200512,AGO
45,2,20200513,AGO
45,2,20200514,AGO
48,2,20200515,AGO
48,2,20200516,AGO
48,2,20200517,AGO
48,2,20200518,AGO
48,2,20200519,AGO
50,2,20200520,AGO
52,3,20200521,AGO
58,3,20200522,AGO
60,3,20200523,AGO
60,3,20200524,AGO
69,4,20200525,AGO
